100;397;-513;false
200;-375;-387;false
201;-374;-430;false
202;-242;-483;false
203;-243;-381;false
204;-389;-149;false
205;-385;-64;false
206;-249;-110;false
207;-254;-46;false
208;-405;194;false
209;-254;216;false
213;-265;271;false
214;-252;365;false
215;-256;448;false
216;-406;424;false
217;-403;327;false
218;-250;40;false
220;-252;131;false
221;-396;94;false
600;-345;-566;true
601;-304;-565;true
602;-267;-566;true
501;239;-510;true
502;245;439;true
503;246;391;true
504;357;495;true
505;395;494;true
506;424;297;true
507;425;257;true
508;248;159;true
509;239;-100;true
510;237;-303;true
511;438;-236;true
512;442;-492;true
513;427;11;true
514;248;185;true